Sa,Probability
1.600714702014560009e+00,9.935277427875535139e-01
1.606553076839430716e+00,9.936286586553505495e-01
1.612391451664301423e+00,9.937278209139265295e-01
1.618229826489171908e+00,9.938252632046752355e-01
1.624068201314042614e+00,9.939210184627760292e-01
1.629906576138913321e+00,9.940151189332793180e-01
1.635744950963784028e+00,9.941075961867978927e-01
1.641583325788654513e+00,9.941984811348149043e-01
1.647421700613525219e+00,9.942878040446168075e-01
1.653260075438395926e+00,9.943755945538632623e-01
1.659098450263266633e+00,9.944618816848015408e-01
1.664936825088137340e+00,9.945466938581363214e-01
1.670775199913007825e+00,9.946300589065619757e-01
1.676613574737878531e+00,9.947120040879676717e-01
1.682451949562749238e+00,9.947925560983236215e-01
1.688290324387619945e+00,9.948717410842551345e-01
1.694128699212490430e+00,9.949495846553146894e-01
1.699967074037361137e+00,9.950261118959579099e-01
1.705805448862231843e+00,9.951013473772326590e-01
1.711643823687102550e+00,9.951753151681878018e-01
1.717482198511973257e+00,9.952480388470077433e-01
1.723320573336843742e+00,9.953195415118825107e-01
1.729158948161714449e+00,9.953898457916177112e-01
1.734997322986585155e+00,9.954589738559912471e-01
1.740835697811455862e+00,9.955269474258650053e-01
1.746674072636326569e+00,9.955937877830558502e-01
